"id","screen_name","date","retweet_count","favorite_count","text","url","user_name","user_screen_name","user_description","user_profile_image_url","user_followers_count","user_friends_count","user_favourites_count","user_statuses_count","retweeted_status","sensitive",ContentModeration,sentiments,Emotion
"1171935509427318784","geriatric101","9/11/2019 11:56:13 PM","1","1","No laughing matter: PC policing would make ‘Monty Python’ and other comedies ‘crimes’ today https://t.co/B3BvLdz7Pu","https://twitter.com/geriatric101/status/1171935509427318784","Geri-Atric","geriatric101","Opinionated, Secularist, Skeptic, Free Speech, WTF Slayer, Hitch Lover, Anti Theist, Anti-Globalist, Profanity Linguist R18+ Animal Lover. Lux mentis Lux orbis","http://pbs.twimg.com/profile_images/1059675074909753344/jcrvjwJY_normal.jpg","867","864","27990","12904",,"True",No Review Required,0.222046315670013,Neutral: 87%
"1171935388082089984","dgoldwx2112","9/11/2019 11:55:44 PM","0","1","@NOAABrauer There are things that Matlab is great at but Python is a solid AP computing environment. However there… https://t.co/ytQ8TwYjvJ","https://twitter.com/dgoldwx2112/status/1171935388082089984","David Gold","dgoldwx2112","IBM-GBS Chief Meteorologist. PhD in Atmospheric Sciences. My tweets are mine alone and do not represent the viewpoints of my employer!","http://pbs.twimg.com/profile_images/740642031999975425/mr2zxOuS_normal.jpg","433","80","1146","781",,,,0.830212950706482,Happiness: 100%
"1171935523083972608","a_domingus","9/11/2019 11:56:16 PM","0","0","@blackgrldev The getting user input part? If yes, this should work in python 3:

remind_me = input(“whatever string… https://t.co/K5P7MWkaGM","https://twitter.com/a_domingus/status/1171935523083972608","Adrienne Domingus","a_domingus","Software engineer | @turingschool alum | @WSCSeattle organizer | 💙 tech, reading, writing, sewing, cats & plants. she/her","http://pbs.twimg.com/profile_images/1028062429584928769/LR_rg53F_normal.jpg","857","445","1031","1049",,,,,Happiness: 100%
"1171935461096468480","peter_haas","9/11/2019 11:56:02 PM","0","0","So let's talk about #trustedcomputing the way the folks at @TrustedComputin might. Let's say you get @coreboot_org… https://t.co/rSagFINQ0S","https://twitter.com/peter_haas/status/1171935461096468480","Peter Haas","peter_haas","Associate Director of Humanity Centered Robotics @BrownHCRI  Co-Founder @AIDG & @TEDxProvidence. @TEDfellow & @EchoingGreen Fellow. Views are my own","http://pbs.twimg.com/profile_images/1811161834/peterhaas_normal.jpg","1136","1127","3131","8519",,,No Review Required,0.744506001472473,No face detected
"1171935458802229249","HakunaWanada","9/11/2019 11:56:01 PM","0","0","@DrJoeHanson It was very Monty Python. I almost expected a big foot to come down","https://twitter.com/HakunaWanada/status/1171935458802229249","Wanda Worsley","HakunaWanada","We're All Dudes.","http://pbs.twimg.com/profile_images/378800000826113822/c60c5407e1d739d8f5b433a14a6b8d93_normal.jpeg","24","176","19858","2990",,,No Review Required,0.5,No face detected
"1171935965474148352","pythonlangbot","9/11/2019 11:58:02 PM","1","1","How to get href from &lt;a&gt; tag which contains JavaScript using Python? https://t.co/NU8JIbk2Ra #python","https://twitter.com/pythonlangbot/status/1171935965474148352","Python 🔥TOP Q&A🔥","pythonlangbot","🔥TOP🔥 Python posts from StackOverflow! Only top voted,non   community-wiki answers of a minimum length are chosen (tweets per hour: less than 4) ⌨by @marcanuy","http://pbs.twimg.com/profile_images/874310130111795200/4_KeZ0IB_normal.jpg","247","12","0","32843",,"False",No Review Required,0.762005031108856,No face detected
"1171935855725940748","pilotcb2","9/11/2019 11:57:36 PM","1","1","Saw a guy wearing a cool #Python logo t shirt today, didnt know whether to hug him or smack him","https://twitter.com/pilotcb2/status/1171935855725940748","Crisco: Butter Flavor","pilotcb2","I am serious, and dont call me Shirley","http://pbs.twimg.com/profile_images/776615703310921732/p9S0XuWG_normal.jpg","158","648","5650","3692",,,No Review Required,0.854313850402832,No face detected
"1171936067412549633","langloislen","9/11/2019 11:58:26 PM","0","0","@DWilson2121 @sunlorrie Hard to take someone serious with a bucket on there head Monty Python","https://twitter.com/langloislen/status/1171936067412549633","len langlois","langloislen","Dont bullshit me teacher","http://pbs.twimg.com/profile_images/1015256054341480455/CTT0pvKH_normal.jpg","305","389","2821","7339",,,No Review Required,0.5,No face detected
"1171936043282468865","drtune","9/11/2019 11:58:20 PM","0","0","@Chris_Gammell @SophiKravitz mm it's tricky. My gigs are usually part of a manufactured product, so there's an impo… https://t.co/jgi8gQRm0c","https://twitter.com/drtune/status/1171936043282468865","DrTune","drtune","Longtime hardware/sw geek, for fun&profit; nowadays Embedded Systems and RE. Doing this for a living is like getting paid to eat cake.
 linkedin: richaplin","http://pbs.twimg.com/profile_images/666294763499356160/L45A4SSi_normal.jpg","372","129","671","2509",,,No Review Required,0.797710418701172,Happiness: 100%
"1171936410141634560","python2clock","9/11/2019 11:59:48 PM","1","1","Only 3 months 20 days left until Python 2 retires","https://twitter.com/python2clock/status/1171936410141634560","Python 2 clock","python2clock","Python 2, thank you for your years of faithful service. Python 3, your time is now. Visit https://t.co/kEDfm8vyQY for more info. Bot operated by @moreati","http://pbs.twimg.com/profile_images/1081684674232111104/z6WawXeB_normal.jpg","45","0","0","11638",,,No Review Required,0.207530796527863,No face detected
